province,month,MinRain,MaxRain,AvgRain,AvgFloodRiskArea(Square meter),flooding,,,,
Yala,1,125.86,250.59,164.76,15713876.02,0,,,,
Narathiwat,1,166.36,360.47,272.72,22184404.17,0,,,,
Lopburi,2,13.11,149.65,64.58,8722670.03,0,,,,
Chainat,2,24.61,55.72,34.52,23682656.7,0,,,,
Saraburi,2,15.83,96.87,44.45,2923294.87,0,,,,
Chonburi,2,13.75,142.18,47.94,11319017.89,0,,,,
Rayong,2,16.73,188.44,67.9,15922802.72,0,,,,
Chanthaburi,2,8.2,47.57,18.24,18460418.16,0,,,,
Chachoengsao,2,19.31,67.09,38.17,9174664.91,0,,,,
Prachinburi,2,25.52,77,46.46,21851777.16,0,,,,
Nakhon Nayok,2,43.87,74.39,55.11,11773961.86,0,,,,
Sa Kaeo,2,12,58.19,31.78,37193369.19,0,,,,
Nakhon Ratchasima,2,0.95,78.49,38.31,22767984.2,0,,,,
Buriram,2,0,34.84,7.67,14055806.19,0,,,,
Surin,2,0,3.66,0.97,13958581.75,0,,,,
Sisaket,2,1.18,8.5,4.23,14810896.18,0,,,,
Ubon Ratchathani,2,0,28.84,4.44,20630426.33,0,,,,
Yasothon,2,3.27,46.06,16.56,6286209.15,0,,,,
Chaiyaphum,2,3.1,37.37,18.33,29713290.43,0,,,,
Bueng Kan,2,24.36,42.66,33.26,70155.12,0,,,,
Nong Bua Lamphu,2,18.84,62.08,40.91,30419695.72,0,,,,
Khon Kaen,2,3.6,35.51,12.53,16875137.96,0,,,,
Udon Thani,2,7.03,59.09,25.43,17186879.75,0,,,,
Loei,2,16.72,39.52,26.56,13529579.56,0,,,,
Nong Khai,2,5.2,28.32,17.18,21599891.95,0,,,,
Maha Sarakham,2,0.47,14.17,6.5,13016655.59,0,,,,
Roi Et,2,0.42,39.63,9.38,14669883.22,0,,,,
Kalasin,2,7.95,50.47,24.31,11208279.07,0,,,,
Sakon Nakhon,2,27.44,67,45.51,86.5,0,,,,
Chiang Mai,2,0,12.62,3.91,20264146.45,0,,,,
Lamphun,2,0.4,17.52,9.52,5004568.22,0,,,,
Lampang,2,2.99,30.95,14.58,8599406.57,0,,,,
Uttaradit,2,12.31,40.79,24.41,16085958.93,0,,,,
Phrae,2,15.81,52.29,32,16892142.82,0,,,,
Nan,2,10.5,40.98,18.26,22743154.42,0,,,,
Phayao,2,2.2,18.55,10.5,26200648.21,0,,,,
Chiang Rai,2,3.79,20.5,10.92,20554196.06,0,,,,
Mae Hong Son,2,0,6.98,1,13223820.53,0,,,,
Nakhon Sawan,2,24.45,165.89,57.28,7632560.65,0,,,,
Uthai Thani,2,13.85,39.54,27.75,16452835.77,0,,,,
Kamphaeng Phet,2,19.73,43.9,33.04,21066429.12,0,,,,
Tak,2,1.6,26.09,15.71,17552436,0,,,,
Sukhothai,2,12.48,43.86,24.96,16871908.26,0,,,,
Phitsanulok,2,20.67,39.2,30.79,25141199.37,0,,,,
Phichit,2,26,53.01,35.19,28664263.22,0,,,,
Phetchabun,2,14.81,60.31,32.09,20605875.71,0,,,,
Ratchaburi,2,8.7,29.08,14.39,33572250.57,0,,,,
Kanchanaburi,2,5.8,20.71,12.11,26726127.71,0,,,,
Suphan Buri,2,5.31,48.52,19.12,5618383.53,0,,,,
Phetchaburi,2,11.46,76.75,39.56,7263070.95,0,,,,
Prachuap Khiri Khan,2,44.02,81.91,67.61,49348897.52,0,,,,
Nakhon Si Thammarat,2,7.94,33.3,20.34,32041150.66,0,,,,
Krabi,2,10.8,42.99,18.86,52404960.23,0,,,,
Phang Nga,2,22.05,117.87,68.86,33275572.12,0,,,,
Phuket,2,14.22,39.39,26.04,10355271.89,0,,,,
Surat Thani,2,2,80.09,18.02,28894275.72,0,,,,
Ranong,2,3.62,96.02,41.25,16694201.37,0,,,,
Chumphon,2,9.66,111.19,71.19,45488917.1,0,,,,
Songkhla,2,8.3,99.76,34.31,32478516.22,0,,,,
Satun,2,0.42,24.07,9.68,31545130.42,0,,,,
Trang,2,4,21.88,11.32,29424386.51,0,,,,
Phatthalung,2,10.45,51.78,24.2,26289445.11,0,,,,
Pattani,2,46.87,63.2,57.42,7694062.52,0,,,,
Yala,2,36.04,58.14,48.7,15713876.02,0,,,,
Narathiwat,2,43.8,54.2,47.18,22184404.17,0,,,,
Lopburi,3,23.9,37.72,28.38,8722670.03,0,,,,
Chainat,3,10.89,27.9,21.29,23682656.7,0,,,,
Saraburi,3,23.11,73.14,35.48,2923294.87,0,,,,
Chonburi,3,15.53,92.31,55.73,11319017.89,0,,,,
Rayong,3,60.88,159.6,107.11,15922802.72,0,,,,
Chanthaburi,3,87.59,202.1,159.78,18460418.16,0,,,,
Chachoengsao,3,20.37,109.23,58.56,9174664.91,0,,,,
Prachinburi,3,18.4,122.54,62.76,21851777.16,0,,,,
Nakhon Nayok,3,21.84,78.02,46.79,11773961.86,0,,,,
Sa Kaeo,3,13.53,109.91,68.91,37193369.19,0,,,,
Nakhon Ratchasima,3,1.31,61.42,28.76,22767984.2,0,,,,
Buriram,3,32.28,70.3,50.92,14055806.19,0,,,,
Surin,3,24.54,64.23,48.66,13958581.75,0,,,,
Sisaket,3,51.09,115.61,71.95,14810896.18,0,,,,
Ubon Ratchathani,3,72.41,139.92,92.17,20630426.33,0,,,,
Yasothon,3,48.58,87.34,64.42,6286209.15,0,,,,
Chaiyaphum,3,7.6,65.58,30.81,29713290.43,0,,,,
Bueng Kan,3,12.52,40.01,26.86,70155.12,0,,,,
Nong Bua Lamphu,3,21.06,64.02,35.22,30419695.72,0,,,,
Khon Kaen,3,18.07,62.21,34.52,16875137.96,0,,,,
Udon Thani,3,1,54.45,16.96,17186879.75,0,,,,
Loei,3,34.78,103.36,63.62,13529579.56,0,,,,
Nong Khai,3,1.2,38.43,12.13,21599891.95,0,,,,
Maha Sarakham,3,36.32,59.89,48.71,13016655.59,0,,,,
Roi Et,3,31.84,70.43,50.72,14669883.22,0,,,,
Kalasin,3,23.11,49.65,36.05,11208279.07,0,,,,
Sakon Nakhon,3,12.12,49.61,27.9,86.5,0,,,,
Chiang Mai,3,2.25,26.08,11.46,20264146.45,0,,,,
Lamphun,3,1,39.39,16.91,5004568.22,0,,,,
Lampang,3,1.8,44.79,20.17,8599406.57,0,,,,
Uttaradit,3,3.61,49.13,23.29,16085958.93,0,,,,
Phrae,3,11.2,39.51,23.35,16892142.82,0,,,,
Nan,3,22.39,65.26,35.96,22743154.42,0,,,,
Phayao,3,25.54,47.99,34.86,26200648.21,0,,,,
Chiang Rai,3,13.93,35.59,26.06,20554196.06,0,,,,
Mae Hong Son,3,0,15.4,5.55,13223820.53,0,,,,
Nakhon Sawan,3,10.65,32.07,19.31,7632560.65,0,,,,
Uthai Thani,3,9.61,27.34,16.77,16452835.77,0,,,,
Kamphaeng Phet,3,10.32,47.8,30.54,21066429.12,0,,,,
Tak,3,0.01,63.4,25.21,17552436,0,,,,
Sukhothai,3,9.01,55.9,31.32,16871908.26,0,,,,
Phitsanulok,3,0.41,63.42,26.15,25141199.37,0,,,,
Phichit,3,1.4,31.4,11.16,28664263.22,0,,,,
Phetchabun,3,23.28,69.6,50.97,20605875.71,0,,,,
Ratchaburi,3,23.79,56.49,43.46,33572250.57,0,,,,
Kanchanaburi,3,0,50.68,18.87,26726127.71,0,,,,
Suphan Buri,3,13.83,63.95,32.27,5618383.53,0,,,,
Phetchaburi,3,16.05,66.1,36.44,7263070.95,0,,,,
Prachuap Khiri Khan,3,13.3,63.37,28.56,49348897.52,0,,,,
Nakhon Si Thammarat,3,40.86,117.3,74.59,32041150.66,0,,,,
Krabi,3,9.62,114.99,88.16,52404960.23,0,,,,
Phang Nga,3,63.32,139.59,121.35,33275572.12,0,,,,
Phuket,3,34.17,132.55,78.3,10355271.89,0,,,,
Surat Thani,3,43.02,139.17,89.69,28894275.72,0,,,,
Ranong,3,65.5,110.5,89.82,16694201.37,0,,,,
Chumphon,3,58.21,103.66,73.61,45488917.1,0,,,,
Songkhla,3,1.45,45.94,24.29,32478516.22,0,,,,
Satun,3,15.31,38.1,22.85,31545130.42,0,,,,
Trang,3,30.76,70.67,55.29,29424386.51,0,,,,
Phatthalung,3,14.64,56,28.69,26289445.11,0,,,,
Pattani,3,36.37,75.26,43.72,7694062.52,0,,,,
Yala,3,31.86,63.02,44.56,15713876.02,0,,,,
Narathiwat,3,46.16,87.99,67.66,22184404.17,0,,,,
Lopburi,4,93.19,296.28,171.66,8722670.03,0,,,,
Chainat,4,56.62,124.44,87.57,23682656.7,0,,,,
Saraburi,4,104.37,214.11,131.5,2923294.87,0,,,,
Chonburi,4,174.87,246.43,211.68,11319017.89,0,,,,
Rayong,4,134.58,212.47,182.97,15922802.72,0,,,,
Chanthaburi,4,195.41,264.89,217.45,18460418.16,0,,,,
Chachoengsao,4,179.5,280.82,232.95,9174664.91,0,,,,
Prachinburi,4,149.73,340.21,250.41,21851777.16,0,,,,
Nakhon Nayok,4,126.17,207.43,165.63,11773961.86,0,,,,
Sa Kaeo,4,101.73,285.67,195.71,37193369.19,0,,,,
Nakhon Ratchasima,4,72.15,246.29,141.79,22767984.2,0,,,,
Buriram,4,64.48,172.55,88.55,14055806.19,0,,,,
Surin,4,49.16,86.97,64.2,13958581.75,0,,,,
Sisaket,4,44.5,82.55,58.67,14810896.18,0,,,,
Ubon Ratchathani,4,51.4,98.74,68.21,20630426.33,0,,,,
Yasothon,4,55.04,98.03,75,6286209.15,0,,,,
Chaiyaphum,4,75.41,241.71,123.11,29713290.43,0,,,,
Bueng Kan,4,103.45,149.64,125.9,70155.12,0,,,,
Nong Bua Lamphu,4,135.14,177.36,161.05,30419695.72,0,,,,
Khon Kaen,4,106.2,206.12,158.88,16875137.96,0,,,,
Udon Thani,4,94.99,183,162.59,17186879.75,0,,,,
Loei,4,102.13,156.23,129.23,13529579.56,0,,,,
Nong Khai,4,143.62,171.65,158.42,21599891.95,0,,,,
Maha Sarakham,4,68.71,188.78,136.79,13016655.59,0,,,,
Roi Et,4,60.17,115.41,92.37,14669883.22,0,,,,
Kalasin,4,73.06,166.92,105.11,11208279.07,0,,,,
Sakon Nakhon,4,52.22,155.16,99.08,86.5,0,,,,
Chiang Mai,4,33.24,165.27,87.65,20264146.45,0,,,,
Lamphun,4,41.55,132.93,107.31,5004568.22,0,,,,
Lampang,4,41.09,192.19,134.78,8599406.57,0,,,,
Uttaradit,4,38.17,170.73,106.7,16085958.93,0,,,,
Phrae,4,97.8,211.39,159.94,16892142.82,0,,,,
Nan,4,82.7,178.86,139.05,22743154.42,0,,,,
Phayao,4,126.64,200.59,167.79,26200648.21,0,,,,
Chiang Rai,4,120.29,195.38,162.14,20554196.06,0,,,,
Mae Hong Son,4,23.3,99.35,49.35,13223820.53,0,,,,
Nakhon Sawan,4,67.71,157.47,101.82,7632560.65,0,,,,
Uthai Thani,4,87.08,135.81,106.54,16452835.77,0,,,,
Kamphaeng Phet,4,39.37,119.26,93.63,21066429.12,0,,,,
Tak,4,17.21,128.22,52.79,17552436,0,,,,
Sukhothai,4,22,122.73,63.34,16871908.26,0,,,,
Phitsanulok,4,35.54,142.16,87.41,25141199.37,0,,,,
Phichit,4,90.54,155.68,125.11,28664263.22,0,,,,
Phetchabun,4,80.82,286.93,130.48,20605875.71,0,,,,
Ratchaburi,4,44.61,146.65,114.74,33572250.57,0,,,,
Kanchanaburi,4,51.1,167.39,124.05,26726127.71,0,,,,
Suphan Buri,4,59.91,129.55,94.31,5618383.53,0,,,,
Phetchaburi,4,121.55,198.94,162.2,7263070.95,0,,,,
Prachuap Khiri Khan,4,124.01,223.78,174.15,49348897.52,0,,,,
Nakhon Si Thammarat,4,59.14,164.83,119.85,32041150.66,0,,,,
Krabi,4,99.04,188.47,118.72,52404960.23,0,,,,
Phang Nga,4,91.86,322.55,227.1,33275572.12,0,,,,
Phuket,4,62.26,138.18,98.45,10355271.89,0,,,,
Surat Thani,4,111.41,256.43,180.69,28894275.72,0,,,,
Ranong,4,198.01,233.94,210.97,16694201.37,0,,,,
Chumphon,4,200.09,265.3,221.71,45488917.1,0,,,,
Songkhla,4,41.87,195.58,103.49,32478516.22,0,,,,
Satun,4,91.51,134.96,112.01,31545130.42,0,,,,
Trang,4,84.25,116.79,98.97,29424386.51,0,,,,
Phatthalung,4,37.43,103.33,71.77,26289445.11,0,,,,
Pattani,4,81.41,255.73,142.72,7694062.52,0,,,,
Yala,4,137.95,269.88,184.91,15713876.02,0,,,,
Narathiwat,4,84.31,213.9,126.23,22184404.17,0,,,,
Lopburi,5,118.57,242.36,169.84,8722670.03,0,,,,
Chainat,5,129.01,185.78,150.84,23682656.7,0,,,,
Saraburi,5,133.64,322.93,216.48,2923294.87,0,,,,
Chonburi,5,37.04,308.08,173.24,11319017.89,0,,,,
Rayong,5,101.82,414.75,214.85,15922802.72,0,,,,
Chanthaburi,5,140.56,248.44,185.36,18460418.16,0,,,,
Chachoengsao,5,116.79,342.62,207.57,9174664.91,0,,,,
Prachinburi,5,78.01,237.7,129.09,21851777.16,0,,,,
Nakhon Nayok,5,85.69,299.44,175.83,11773961.86,0,,,,
Sa Kaeo,5,120.71,177.01,137.67,37193369.19,0,,,,
Nakhon Ratchasima,5,118.25,343.65,177.95,22767984.2,0,,,,
Buriram,5,136.43,212.35,169.1,14055806.19,0,,,,
Surin,5,163.46,231.99,194.38,13958581.75,0,,,,
Sisaket,5,154,208.86,172.04,14810896.18,0,,,,
Ubon Ratchathani,5,164.54,183.08,171.39,20630426.33,0,,,,
Yasothon,5,164.96,214.3,194.95,6286209.15,0,,,,
Chaiyaphum,5,132.27,246.29,191.83,29713290.43,0,,,,
Bueng Kan,5,178.23,238.89,205.07,70155.12,0,,,,
Nong Bua Lamphu,5,217.79,289.48,258.42,30419695.72,0,,,,
Khon Kaen,5,172.16,253.98,210.61,16875137.96,0,,,,
Udon Thani,5,168.82,286.04,240.02,17186879.75,0,,,,
Loei,5,114.6,248.56,215.03,13529579.56,0,,,,
Nong Khai,5,228.54,264.7,251.04,21599891.95,0,,,,
Maha Sarakham,5,180.62,232.24,211.04,13016655.59,0,,,,
Roi Et,5,175.54,256.07,212.71,14669883.22,0,,,,
Kalasin,5,154.32,219.21,184.43,11208279.07,0,,,,
Sakon Nakhon,5,133.59,230.53,177.4,86.5,0,,,,
Chiang Mai,5,184.31,434.59,255.41,20264146.45,0,,,,
Lamphun,5,206.44,265.58,228.43,5004568.22,0,,,,
Lampang,5,179.01,370.74,238.25,8599406.57,0,,,,
Uttaradit,5,135.82,280.35,198.83,16085958.93,0,,,,
Phrae,5,126.01,238.59,174.48,16892142.82,0,,,,
Nan,5,92.21,253.38,166.8,22743154.42,0,,,,
Phayao,5,156.99,376.61,282.48,26200648.21,0,,,,
Chiang Rai,5,267.7,515.53,409.66,20554196.06,0,,,,
Mae Hong Son,5,156.2,291.07,203.3,13223820.53,0,,,,
Nakhon Sawan,5,113.9,178.79,139.44,7632560.65,0,,,,
Uthai Thani,5,146.83,190.77,157.63,16452835.77,0,,,,
Kamphaeng Phet,5,129.51,207.83,155.86,21066429.12,0,,,,
Tak,5,97.74,281.75,198.79,17552436,0,,,,
Sukhothai,5,112.03,257.26,176.85,16871908.26,0,,,,
Phitsanulok,5,114.97,273.16,187.05,25141199.37,0,,,,
Phichit,5,94.62,195.74,128.65,28664263.22,0,,,,
Phetchabun,5,84.83,197.56,135.37,20605875.71,0,,,,
Ratchaburi,5,112.75,206.93,137.1,33572250.57,0,,,,
Kanchanaburi,5,141.7,200.52,150.26,26726127.71,0,,,,
Suphan Buri,5,137.72,195.98,154.06,5618383.53,0,,,,
Phetchaburi,5,57.41,257.76,137.88,7263070.95,0,,,,
Prachuap Khiri Khan,5,76.71,260.81,136.7,49348897.52,0,,,,
Nakhon Si Thammarat,5,109.54,313.8,201.51,32041150.66,0,,,,
Krabi,5,208.82,296.69,243.17,52404960.23,0,,,,
Phang Nga,5,260.72,438.35,355.87,33275572.12,0,,,,
Phuket,5,240.66,331.95,281.34,10355271.89,0,,,,
Surat Thani,5,122.25,368.36,231.31,28894275.72,0,,,,
Ranong,5,140.14,470.91,320.18,16694201.37,0,,,,
Chumphon,5,82.5,446.48,197.6,45488917.1,0,,,,
Songkhla,5,135.48,249.88,191.18,32478516.22,0,,,,
Satun,5,211.21,310.21,255.64,31545130.42,0,,,,
Trang,5,209.32,264.79,247.33,29424386.51,0,,,,
Phatthalung,5,134.73,237.5,177.95,26289445.11,0,,,,
Pattani,5,70.03,220.19,169.86,7694062.52,0,,,,
Yala,5,57.61,182.15,136.5,15713876.02,0,,,,
Narathiwat,5,109.36,247.89,199.46,22184404.17,0,,,,
Lopburi,6,78.8,151.39,119.12,8722670.03,0,,,,
Chainat,6,106.38,141.79,130.24,23682656.7,0,,,,
Saraburi,6,82.93,140.92,112.29,2923294.87,0,,,,
Chonburi,6,64.14,194.41,108.47,11319017.89,0,,,,
Rayong,6,68.07,374.16,170.93,15922802.72,0,,,,
Chanthaburi,6,194.46,536.2,410.68,18460418.16,0,,,,
Chachoengsao,6,92.68,264.79,142.01,9174664.91,0,,,,
Prachinburi,6,139.56,208.18,185.51,21851777.16,0,,,,
Nakhon Nayok,6,108.56,199.23,147.42,11773961.86,0,,,,
Sa Kaeo,6,108.79,276.04,161.38,37193369.19,0,,,,
Nakhon Ratchasima,6,74.34,169.15,104.36,22767984.2,0,,,,
Buriram,6,47.84,141.29,90.26,14055806.19,0,,,,
Surin,6,59.99,171.72,132.92,13958581.75,0,,,,
Sisaket,6,96.11,277.63,163.55,14810896.18,0,,,,
Ubon Ratchathani,6,153.84,352.79,280.2,20630426.33,0,,,,
Yasothon,6,141.9,267.38,194.54,6286209.15,0,,,,
Chaiyaphum,6,94.21,177.52,124.11,29713290.43,0,,,,
Bueng Kan,6,240.89,324.44,295.26,70155.12,0,,,,
Nong Bua Lamphu,6,145.94,204.72,172.17,30419695.72,0,,,,
Khon Kaen,6,112.77,220.63,168.28,16875137.96,0,,,,
Udon Thani,6,153,315.28,240.71,17186879.75,0,,,,
Loei,6,135.05,190.99,155.18,13529579.56,0,,,,
Nong Khai,6,187.15,270.39,235.6,21599891.95,0,,,,
Maha Sarakham,6,87.21,174.97,145.38,13016655.59,0,,,,
Roi Et,6,109,233.31,155.17,14669883.22,0,,,,
Kalasin,6,153.56,260.07,196.22,11208279.07,0,,,,
Sakon Nakhon,6,232.74,334.71,280.54,86.5,0,,,,
Chiang Mai,6,99.75,305.74,187.69,20264146.45,0,,,,
Lamphun,6,86.42,199.5,142.14,5004568.22,0,,,,
Lampang,6,96.27,196.39,141.47,8599406.57,0,,,,
Uttaradit,6,117.46,200.38,161.16,16085958.93,0,,,,
Phrae,6,88.11,189.63,127.78,16892142.82,0,,,,
Nan,6,109.82,415.33,204.91,22743154.42,0,,,,
Phayao,6,89.42,295.67,167.28,26200648.21,0,,,,
Chiang Rai,6,112.53,246.99,202.51,20554196.06,0,,,,
Mae Hong Son,6,164.26,340.09,241.69,13223820.53,0,,,,
Nakhon Sawan,6,102.81,161.2,126.83,7632560.65,0,,,,
Uthai Thani,6,98.01,208.88,142.98,16452835.77,0,,,,
Kamphaeng Phet,6,132.51,175.74,154.49,21066429.12,0,,,,
Tak,6,119.91,299.13,183.66,17552436,0,,,,
Sukhothai,6,163.15,192.82,179.3,16871908.26,0,,,,
Phitsanulok,6,137.43,186.65,165.6,25141199.37,0,,,,
Phichit,6,126.79,190.3,166.12,28664263.22,0,,,,
Phetchabun,6,111.92,166.79,138.66,20605875.71,0,,,,
Ratchaburi,6,61.18,93.62,76.6,33572250.57,0,,,,
Kanchanaburi,6,32.76,321.17,166.03,26726127.71,0,,,,
Suphan Buri,6,31.03,154.58,79.89,5618383.53,0,,,,
Phetchaburi,6,70.58,137.16,94.37,7263070.95,0,,,,
Prachuap Khiri Khan,6,66.61,231.11,116.96,49348897.52,0,,,,
Nakhon Si Thammarat,6,82.84,189.44,132.71,32041150.66,0,,,,
Krabi,6,146.69,361.78,213.11,52404960.23,0,,,,
Phang Nga,6,298.8,558.13,375.19,33275572.12,0,,,,
Phuket,6,373.6,589.45,475.31,10355271.89,0,,,,
Surat Thani,6,75.15,558.34,217.22,28894275.72,0,,,,
Ranong,6,226.95,793.31,492.88,16694201.37,0,,,,
Chumphon,6,180.83,744.55,312.85,45488917.1,0,,,,
Songkhla,6,66.31,181.6,117.92,32478516.22,0,,,,
Satun,6,120.59,224.21,168.16,31545130.42,0,,,,
Trang,6,138.95,188.79,171.53,29424386.51,0,,,,
Phatthalung,6,102.92,165.07,127.34,26289445.11,0,,,,
Pattani,6,93.4,112.18,101.41,7694062.52,0,,,,
Yala,6,99.02,111.43,102.93,15713876.02,0,,,,
Narathiwat,6,102.91,114.4,110.14,22184404.17,0,,,,
Lopburi,7,76.78,261.7,140.39,8722670.03,0,,,,
Chainat,7,58.71,95.55,76.32,23682656.7,0,,,,
Saraburi,7,75.72,195.67,110.04,2923294.87,0,,,,
Chonburi,7,9.96,185.85,71.31,11319017.89,0,,,,
Rayong,7,19.14,163.52,67.16,15922802.72,0,,,,
Chanthaburi,7,120.24,321.28,228.03,18460418.16,0,,,,
Chachoengsao,7,47.98,332.9,201.72,9174664.91,0,,,,
Prachinburi,7,172.42,396.59,338.04,21851777.16,0,,,,
Nakhon Nayok,7,112.61,386.93,239.02,11773961.86,1,,,,
Sa Kaeo,7,150.38,380.97,287.01,37193369.19,1,,,,
Nakhon Ratchasima,7,75.9,311.31,144.73,22767984.2,0,,,,
Buriram,7,44.81,222.53,117.51,14055806.19,0,,,,
Surin,7,110.02,275.29,177.92,13958581.75,0,,,,
Sisaket,7,204.53,358.19,303.36,14810896.18,0,,,,
Ubon Ratchathani,7,303.09,634.02,367.95,20630426.33,0,,,,
Yasothon,7,265.1,654.38,388.92,6286209.15,0,,,,
Chaiyaphum,7,125.71,259.35,169.17,29713290.43,0,,,,
Bueng Kan,7,306.12,710.78,534.38,70155.12,0,,,,
Nong Bua Lamphu,7,89.04,194.03,134.68,30419695.72,0,,,,
Khon Kaen,7,138.37,239.28,187.87,16875137.96,0,,,,
Udon Thani,7,95.98,420.56,219.71,17186879.75,0,,,,
Loei,7,130.51,216.41,159.86,13529579.56,0,,,,
Nong Khai,7,205.15,373.72,300.36,21599891.95,0,,,,
Maha Sarakham,7,162.81,286.4,233.07,13016655.59,0,,,,
Roi Et,7,181.16,520.58,280.97,14669883.22,0,,,,
Kalasin,7,196.84,549.12,340.5,11208279.07,0,,,,
Sakon Nakhon,7,263.32,819.85,506.25,86.5,0,,,,
Chiang Mai,7,132.1,319.33,218.05,20264146.45,0,,,,
Lamphun,7,89.17,217.49,162.43,5004568.22,0,,,,
Lampang,7,74.11,257.07,172.15,8599406.57,0,,,,
Uttaradit,7,78.84,306.09,180.7,16085958.93,0,,,,
Phrae,7,96.08,301.55,228.37,16892142.82,0,,,,
Nan,7,231.41,421.17,318.82,22743154.42,0,,,,
Phayao,7,152.43,360.12,244.78,26200648.21,0,,,,
Chiang Rai,7,166.84,274.04,226.24,20554196.06,0,,,,
Mae Hong Son,7,208.84,347.69,282.81,13223820.53,0,,,,
Nakhon Sawan,7,69.67,270.86,141.15,7632560.65,0,,,,
Uthai Thani,7,66.86,300.36,154.6,16452835.77,0,,,,
Kamphaeng Phet,7,88.66,272.72,146.55,21066429.12,0,,,,
Tak,7,61.68,697.25,258.7,17552436,0,,,,
Sukhothai,7,30.19,156.95,87.69,16871908.26,0,,,,
Phitsanulok,7,75.96,190.58,130.32,25141199.37,0,,,,
Phichit,7,120.64,212.56,154.88,28664263.22,0,,,,
Phetchabun,7,147.23,319.47,196.12,20605875.71,0,,,,
Ratchaburi,7,22.02,85.98,41.09,33572250.57,0,,,,
